Txhash,Blockno,UnixTimestamp,DateTime,From,To,ContractAddress,Value_IN(BNB),Value_OUT(BNB),CurrentValue @ $372.11/BNB,TxnFee(BNB),TxnFee(USD),Historical $Price/BNB,Status,ErrCode,Method
0x5541076a30baa4951942a6f47aa8f774cad24f4fc896450f7ca8b9740e18e13b,14231946,1641783534,1/10/2022 2:58,0x2891985919d99a3bfe8b3838f7a7183b1beb129a,0x0999ba9aea33dca5b615ffc9f8f88d260eab74f1,,0,0,0,0.00022226,0.082705169,425.03,,,Approve
0x5d68b3cb62c651a4abe09a2be77a385a90d32aaf38e8ba2de821251da6e946d2,14231951,1641783549,1/10/2022 2:59,0x212c35d2fe5b5395a0e384d3ef0b5a5c34d79a27,0x0999ba9aea33dca5b615ffc9f8f88d260eab74f1,,0,0,0,0.00022226,0.082705169,425.03,,,Approve
0x93e2dff6f264501eb2f8f2aa9847665eef3d95a575685abe180a72860105b5f7,14231952,1641783552,1/10/2022 2:59,0x1c9df4b72de9088b13484d527f2fdafdf5562b15,0x0999ba9aea33dca5b615ffc9f8f88d260eab74f1,,0,0,0,0.00022226,0.082705169,425.03,,,Approve
0xe147f4f993f3776c5e49319a158000a9920f71c306db4d273649fe09434d1514,14232174,1641784218,1/10/2022 3:10,0xf9bf75a357fcaa5cf3d07ff1ef5a011391327fe6,0x0999ba9aea33dca5b615ffc9f8f88d260eab74f1,,0,0,0,0.00022226,0.082705169,425.03,,,Approve
0x6e73843c3e2bc4ec3fd752b1ca550ad069c677a5f1d0ff2888810f16515de569,14232181,1641784239,1/10/2022 3:10,0xedf2dec86abdc224dca01de476a7bebb8e621034,0x0999ba9aea33dca5b615ffc9f8f88d260eab74f1,,0,0,0,0.00022226,0.082705169,425.03,,,Approve
0x1d87b6c6c8335814e324e8b39fb62aa53c70ba14e6450b9d3b344a77277bfb41,14232271,1641784509,1/10/2022 3:15,0xa8da995c5f5bf2ddc0f2579287b268d6a52b4733,0x0999ba9aea33dca5b615ffc9f8f88d260eab74f1,,0,0,0,0.00022226,0.082705169,425.03,,,Approve
0xcd49e586aa849b6456ff1cb36b74e3f9c2d8c93a4c044115b7a21619e5241e34,14232283,1641784545,1/10/2022 3:15,0xe4acb1a14098b48eb546e750e2bb0655f6984eff,0x0999ba9aea33dca5b615ffc9f8f88d260eab74f1,,0,0,0,0.00022226,0.082705169,425.03,,,Approve
0x061ce797bea4a4e7a43d2e118138b4f84316f4acd2ade0b09b139a8e58042381,14232342,1641784722,1/10/2022 3:18,0x2a479056fac97b62806cc740b11774e6598b1649,0x0999ba9aea33dca5b615ffc9f8f88d260eab74f1,,0,0,0,0.00022226,0.082705169,425.03,,,Approve
0x175e2045d6d81f201d0928cbce17e6aa0862f9d10ef0431ef8a4fe327564cb29,14232350,1641784746,1/10/2022 3:19,0xb9f0033df38f2f492143776d94301186a6bc11d9,0x0999ba9aea33dca5b615ffc9f8f88d260eab74f1,,0,0,0,0.00022226,0.082705169,425.03,,,Approve
0xf14719d82f2f7a29a5bfd56edee62af3e11b8ab748b577b56ea7154fd366887b,14232380,1641784836,1/10/2022 3:20,0x3a9520541aac9069b469c005dff93bda1824415d,0x0999ba9aea33dca5b615ffc9f8f88d260eab74f1,,0,0,0,0.00022226,0.082705169,425.03,,,Approve
0x06224a9a91ec51a48a3e4fa4252f379bb23d6fd056461c203de70a50115727ff,14232442,1641785022,1/10/2022 3:23,0xcd1f00e5bfdc2ba5eed6e6f99b789f27969d8dc9,0x0999ba9aea33dca5b615ffc9f8f88d260eab74f1,,0,0,0,0.00022226,0.082705169,425.03,,,Approve
0x510ff14afcd28cbe19b20cdbca535d28409158e46fcddcf7bd12c180fed0ec37,14232523,1641785265,1/10/2022 3:27,0x21face3f7d01accd991db9e1471336fad3596d2f,0x0999ba9aea33dca5b615ffc9f8f88d260eab74f1,,0,0,0,0.00022226,0.082705169,425.03,,,Approve
0xc8675ce0bbaa3edb6e303aee8497701909734e1b9f738f86bf6de011f5ab8e93,14232528,1641785280,1/10/2022 3:28,0x88549ece7398f150ac92711900bd1bec8d2841ee,0x0999ba9aea33dca5b615ffc9f8f88d260eab74f1,,0,0,0,0.00022226,0.082705169,425.03,,,Approve
